,A,Q,Context,len_Context,label
13,"Come on, you're holding out on me.",I don't have any banana.,"Children, it's time for you to go to bed. Yeah. You're so silly. I don't have any banana.",4.0,1.0
14,"Think nothing of it. Hey, what's the matter, son?","I'm sorry I called you a baboon, Dad.","Yeah. You're so silly. I don't have any banana. I'm sorry I called you a baboon, Dad.",4.0,1.0
15,"Hey son, would you have gotten any money for being class president?","Ah, Dad, if just me, Milhouse and Lewis had voted...","You're so silly. I don't have any banana. I'm sorry I called you a baboon, Dad. Ah, Dad, if just me, Milhouse and Lewis had voted...",4.0,1.0
16,Would you have to do extra work?,No.,"I don't have any banana. I'm sorry I called you a baboon, Dad. Ah, Dad, if just me, Milhouse and Lewis had voted... No.",4.0,1.0
17,"And is this Martin guy going to get to do anything neat, like throw out the first ball at the world series, huh?",Yeah.,"I'm sorry I called you a baboon, Dad. Ah, Dad, if just me, Milhouse and Lewis had voted... No. Yeah.",4.0,1.0
18,"So, let the baby have his bottle, huh? That's my motto.","Well, no.","Ah, Dad, if just me, Milhouse and Lewis had voted... No. Yeah. Well, no.",4.0,1.0
19,"Holy-moly... talk about parenting! Uh oh. Sleep well, Maggie. Ah, three for three.","Hey! Thanks, monkey-man.","No. Yeah. Well, no. Hey! Thanks, monkey-man.",4.0,1.0
20,"Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life.","Homie, did you straighten everything out...?","Yeah. Well, no. Hey! Thanks, monkey-man. Homie, did you straighten everything out...?",4.0,1.0
24,Do we have enough gag ice cubs?,Do we have enough glasses?,"Homer! You promised! Yeah, you can't have any fun in bed. Oh! They're here! How does everything look? Do we have enough glasses?",4.0,1.0
25,What are all our friends names again?,Homer! Homer! Put a record on!,"Yeah, you can't have any fun in bed. Oh! They're here! How does everything look? Do we have enough glasses? Homer! Homer! Put a record on!",4.0,1.0
26,"Why not? I paid for it. Hey, Flanders, next time why don't you put a little alcohol in it?","Hey, Homer! Care to try some of my Flanders Planters punch?","Oh! They're here! How does everything look? Do we have enough glasses? Homer! Homer! Put a record on! Hey, Homer! Care to try some of my Flanders Planters punch?",4.0,1.0
27,Really? Well I do have a warm sense of well-being and I seem to be ssslurring my shpeech... you're right! Give me another.,"Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor.","Do we have enough glasses? Homer! Homer! Put a record on! Hey, Homer! Care to try some of my Flanders Planters punch? Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor.",4.0,1.0
28,No.,"Now, Homer, go easy on the al-ky-hol. Remember last year at the Winfield's party when you threw up in the laundry hamper?","Homer! Homer! Put a record on! Hey, Homer! Care to try some of my Flanders Planters punch? Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor. Now, Homer, go easy on the al-ky-hol. Remember last year at the Winfield's party when you threw up in the laundry hamper?",4.0,1.0
32,"You little monkey... you're a little monkey, aren't you?",What?,"Hi! You're Homer's sister-in-law, right? I remember you, but I don't remember you being so beau --tiful. Ow! Hey! Jeez! Is that a new kind of Mace? It's really painful. Uh, no, not really. Someone seems to have slipped one of those novelty ice cubes with a fake fly in my drink. Please Dad. What?",4.0,1.0
33,"Bart, do that thing you do that's so cute.",Yes sir.,"Uh, no, not really. Someone seems to have slipped one of those novelty ice cubes with a fake fly in my drink. Please Dad. What? Yes sir.",4.0,1.0
34,That thing you know how to do.,What?,Please Dad. What? Yes sir. What?,4.0,1.0
35,"Go to bed. Hey, everybody! Look, I'm the funniest guy in the world!",What?,What? Yes sir. What? What?,4.0,1.0
36,"I've been wantin' to tell you off for years, but I've never had the nerve.","Oh, Homer, you're the king!","Yes sir. What? What? Oh, Homer, you're the king!",4.0,1.0
37,You stink! You and your whole lousy operation stinks! I quit!,"Homer, I don't know you. My wife and your wife are friends. We met just three hours ago.","What? What? Oh, Homer, you're the king! Homer, I don't know you. My wife and your wife are friends. We met just three hours ago.",4.0,1.0
38,All right then. Could you... give me a handful of peanuts... Maude?,"Uh, gee Homer, don't quit...","What? Oh, Homer, you're the king! Homer, I don't know you. My wife and your wife are friends. We met just three hours ago. Uh, gee Homer, don't quit...",4.0,1.0
39,Not those peanuts. The ones at the bottom.,Oh sure.,"Oh, Homer, you're the king! Homer, I don't know you. My wife and your wife are friends. We met just three hours ago. Uh, gee Homer, don't quit... Oh sure.",4.0,1.0
40,Why? What'd you do? Marge!,I have never been so embarrassed in my life.,"Homer, I don't know you. My wife and your wife are friends. We met just three hours ago. Uh, gee Homer, don't quit... Oh sure. I have never been so embarrassed in my life.",4.0,1.0
41,Where-where are we going?,Come here!,"Uh, gee Homer, don't quit... Oh sure. I have never been so embarrassed in my life. Come here!",4.0,1.0
56,"Marge, just puttin' a few last things in the trunk.","Oh sure. Last resort... Old Grampa, the feeb. The guy who can't be counted on for nothing, no how, dagnabit. Everyone's agin me. I'll do it.","Now you wanna go? Oh my. Where are we supposed to get a sitter on such short notice? Don't take that tone with me, young lady, or I'll give you a taste of the back of me hand. Oh sure. Last resort... Old Grampa, the feeb. The guy who can't be counted on for nothing, no how, dagnabit. Everyone's agin me. I'll do it.",4.0,1.0
60,"Whoa, who says that?",... they say he weighs upwards of five hundred pounds.,"Where ya headed? Oh, after General Sherman, are ya? He's only the biggest catfish in these parts... ... they say he weighs upwards of five hundred pounds.",4.0,1.0
61,Oh.,They do.,"Oh, after General Sherman, are ya? He's only the biggest catfish in these parts... ... they say he weighs upwards of five hundred pounds. They do.",4.0,1.0
62,Hmmmm. Gentlemen: I am going to catch General Sherman!,"Now, that there's the only known picture of the General. Can't see what he is, exactly. He's freakishly big, though.","He's only the biggest catfish in these parts... ... they say he weighs upwards of five hundred pounds. They do. Now, that there's the only known picture of the General. Can't see what he is, exactly. He's freakishly big, though.",4.0,1.0
66,Lucky you don't keep guns in the house.,"Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers.","Why, Homer Simpson! Here to give your marriage a little spit shine? Oh, I'm afraid not. A marriage can't be reconciled in a few hours, Homer. It takes a whole weekend to do that. We must bait our hooks with honesty. That way a happy marriage won't be the one that got away. Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers.",4.0,1.0
67,"Ohhh, because I got drunk and looked down her dress.","Homer, why are you here?","Oh, I'm afraid not. A marriage can't be reconciled in a few hours, Homer. It takes a whole weekend to do that. We must bait our hooks with honesty. That way a happy marriage won't be the one that got away. Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers. Homer, why are you here?",4.0,1.0
68,She's perfect.,"No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers?","We must bait our hooks with honesty. That way a happy marriage won't be the one that got away. Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers. Homer, why are you here? No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers?",4.0,1.0
69,"Well, sometimes that can be annoying.","Come on, Homer. What are her faults?","Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers. Homer, why are you here? No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers? Come on, Homer. What are her faults?",4.0,1.0
70,I'm done.,"Now, Marge. Don't interrupt. You'll get your turn.","Homer, why are you here? No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers? Come on, Homer. What are her faults? Now, Marge. Don't interrupt. You'll get your turn.",4.0,1.0
71,It's true. It's all true.,"He forgets birthdays, anniversaries, holidays -- both religious and secular -- he chews with his mouth open, he gambles, he hangs out at a seedy bar with bums and lowlifes...","No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers? Come on, Homer. What are her faults? Now, Marge. Don't interrupt. You'll get your turn. He forgets birthdays, anniversaries, holidays -- both religious and secular -- he chews with his mouth open, he gambles, he hangs out at a seedy bar with bums and lowlifes...",4.0,1.0
72,Sorry.,"Homer, don't interrupt.","Come on, Homer. What are her faults? Now, Marge. Don't interrupt. You'll get your turn. He forgets birthdays, anniversaries, holidays -- both religious and secular -- he chews with his mouth open, he gambles, he hangs out at a seedy bar with bums and lowlifes... Homer, don't interrupt.",4.0,1.0
73,I only did that a couple of times.,"He blows his nose on the towels, and puts them back in the middle...","Now, Marge. Don't interrupt. You'll get your turn. He forgets birthdays, anniversaries, holidays -- both religious and secular -- he chews with his mouth open, he gambles, he hangs out at a seedy bar with bums and lowlifes... Homer, don't interrupt. He blows his nose on the towels, and puts them back in the middle...",4.0,1.0
80,"Watch. Wow, I did it! I gave up fame and breakfast for my marriage. I fought it for six hours. She says one word and I toss it back. And you're telling me our marriage is in trouble? Come here, baby.","Oh yeah, sure.","We came to this retreat because I thought our marriage was in trouble, but I never for a minute thought it was in this much trouble. Homer, how can you expect me to believe.... To who? All this fish represents is just how selfish you are. Oh yeah, sure.",4.0,1.0
85,"A hundred bucks?! For a comic book? Who drew it, Micha-ma-langelo?",I need a hundred dollars for a comic book.,"Ohhh. Homer! All right, Homer. Whoa, you really are a sport, Dad, taking us out to a fine restaurant like Krusty Burger! I need a hundred dollars for a comic book.",4.0,1.0
86,"Well, t.s.","Oh please, Dad. I want this more than anything in the world.","Homer! All right, Homer. Whoa, you really are a sport, Dad, taking us out to a fine restaurant like Krusty Burger! I need a hundred dollars for a comic book. Oh please, Dad. I want this more than anything in the world.",4.0,1.0
90,No.,Please Dad.,Please Dad. Please Dad. Please Dad. Please Dad.,4.0,1.0
91,No.,Please Dad.,Please Dad. Please Dad. Please Dad. Please Dad.,4.0,1.0
92,No.,Please Dad.,Please Dad. Please Dad. Please Dad. Please Dad.,4.0,1.0
93,No.,Please Dad.,Please Dad. Please Dad. Please Dad. Please Dad.,4.0,1.0
94,"No! Now, look, son, we all know that usually when you bug me like this, I give in, so I'm not mad at you for trying. It shows you've been paying attention. But we all know I'm not gonna give you a hundred dollars. Now are you gonna stop bugging me?",Please Dad.,Please Dad. Please Dad. Please Dad. Please Dad.,4.0,1.0
95,Are you?,No.,Please Dad. Please Dad. Please Dad. No.,4.0,1.0
96,Are you?,No.,Please Dad. Please Dad. No. No.,4.0,1.0
97,Are you?,No.,Please Dad. No. No. No.,4.0,1.0
98,Are you?,No.,No. No. No. No.,4.0,1.0
99,Are you?,No.,No. No. No. No.,4.0,1.0
100,Are you?,No.,No. No. No. No.,4.0,1.0
101,Are you?,No.,No. No. No. No.,4.0,1.0
102,Are you?,No.,No. No. No. No.,4.0,1.0
103,Are you?,No.,No. No. No. No.,4.0,1.0
104,Are you?,No.,No. No. No. No.,4.0,1.0
105,"Hee hee, I win! In your face! Yeah! How do you like them apples? Woo hoo hoo!",Okay.,No. No. No. Okay.,4.0,1.0
112,"Son, I'm proud of you. I was twice your age before I figured that out.","Dad, I've done everything I could and I've only got thirty-five bucks. Ugh.. I am through with working. Working is for chumps.","Moon pies, my butt... Somebody oughta moon pie her... I've been bustin' my hump all week for that withered old clam, and all I got was fifty cents. Really? Dad, I've done everything I could and I've only got thirty-five bucks. Ugh.. I am through with working. Working is for chumps.",4.0,1.0
120,"Aw, old man Burns is gonna kick off if he doesn't get some Double-O-Negative blood, but nobody at the plant has it.","Glow in the dark monster make-up. Oh, Homie, you have lots of hair... Why did you want to know your blood type?","It's like an ox, only it has a hump and a dewlap. Hump and dew-lap. Hump and dew-lap. A-Positive. Sixteen permanent, eight baby. Glow in the dark monster make-up. Oh, Homie, you have lots of hair... Why did you want to know your blood type?",4.0,1.0
121,"Woo! Yes! All right! Woo! Congratulations, boy! You've got a date with a needle!",Bart does.,"A-Positive. Sixteen permanent, eight baby. Glow in the dark monster make-up. Oh, Homie, you have lots of hair... Why did you want to know your blood type? Bart does.",4.0,1.0
122,"Yeah, you have the right to remain silent.","Hey, wait a minute. I don't have to give blood. I have rights, you know.","Sixteen permanent, eight baby. Glow in the dark monster make-up. Oh, Homie, you have lots of hair... Why did you want to know your blood type? Bart does. Hey, wait a minute. I don't have to give blood. I have rights, you know.",4.0,1.0
123,"Bart, it's not like I'm asking you to give blood for free. That would be crazy! You're a little young to understand this, but when you save a rich man's life, he showers you with riches. Don't you know the story of Hercules and the Lion?","Bart, you have to help someone in need. It's the only decent thing to do.","Glow in the dark monster make-up. Oh, Homie, you have lots of hair... Why did you want to know your blood type? Bart does. Hey, wait a minute. I don't have to give blood. I have rights, you know. Bart, you have to help someone in need. It's the only decent thing to do.",4.0,1.0
124,"Yeah, probably. Anyway, once upon a time there was a big mean lion who got a thorn in his paw. And all the village people tried to pull it out, but nobody was strong enough. So they got Hercules, and Hercules used his mighty strength, and bingo. Anyway, the moral is, the lion was so happy, he gave Hercules this big thing of riches.",Is it a Bible story?,"Bart does. Hey, wait a minute. I don't have to give blood. I have rights, you know. Bart, you have to help someone in need. It's the only decent thing to do. Is it a Bible story?",4.0,1.0
125,It was the olden days!,How did a lion get rich?,"Hey, wait a minute. I don't have to give blood. I have rights, you know. Bart, you have to help someone in need. It's the only decent thing to do. Is it a Bible story? How did a lion get rich?",4.0,1.0
134,"Good. ""You are a senile, buck-toothed old mummy with bony girl arms... and you smell like...""",You stink.,"Homer, you don't do things like that to be rewarded. You do them because a fellow human being needs a helping hand. Yeah, Mom. We got hosed! We got exactly what we wanted out of this: We gave an old man a second chance. You stink.",4.0,1.0
135,An elephant's butt.,An elephant's butt?,"Yeah, Mom. We got hosed! We got exactly what we wanted out of this: We gave an old man a second chance. You stink. An elephant's butt?",4.0,1.0
144,Yeah...,...was in my hand...,"Homer, I don't think it's in the cornstarch canister. Yup. The last place I saw it... ...was in my hand...",4.0,1.0
145,Why did you do that?,...as I was shoving it into the mailbox.,Yup. The last place I saw it... ...was in my hand... ...as I was shoving it into the mailbox.,4.0,1.0
146,I'll show you mad in the morning.,"Dad, there were things in the letter that had to be said. And I know you. You're an emotional guy. Just because you were mad last night, is no guarantee you'd be mad in the morning. So I...","The last place I saw it... ...was in my hand... ...as I was shoving it into the mailbox. Dad, there were things in the letter that had to be said. And I know you. You're an emotional guy. Just because you were mad last night, is no guarantee you'd be mad in the morning. So I...",4.0,1.0
147,"She's right. Okay, think, Homer. Don't panic. They don't pick up the mail till noon. There's still time!","Homer, you encouraged him. You should be strangling yourself.","...was in my hand... ...as I was shoving it into the mailbox. Dad, there were things in the letter that had to be said. And I know you. You're an emotional guy. Just because you were mad last night, is no guarantee you'd be mad in the morning. So I... Homer, you encouraged him. You should be strangling yourself.",4.0,1.0
151,That's a good one. We'll use that.,"Dad, the mailman is here.","Give it up, Homer. It's locked up tight. Why the hose, Homer? Yeah, but don't other people have mail in there? Dad, the mailman is here.",4.0,1.0
152,"Uh, uh I-I guess it wouldn't do any good to run, 'cause you're our mail lady and you know my name and address and everything, huh?",Dear God! Are you planning to water the mail?,"Why the hose, Homer? Yeah, but don't other people have mail in there? Dad, the mailman is here. Dear God! Are you planning to water the mail?",4.0,1.0
153,"Well, I'm still gonna run!",That's right.,"Yeah, but don't other people have mail in there? Dad, the mailman is here. Dear God! Are you planning to water the mail? That's right.",4.0,1.0
163,"Marge! Really, what does it do?",It doesn't do anything.,"Wait, Dad, he's smiling. It's to open the crate, stupid. No, Maggie. Not Az-tec. Ol-mec. Ol-mec. It doesn't do anything.",4.0,1.0
164,"Save a guy's life, and whattaya get? Nothin'! Worse than nothin'! Just a big, scary rock.","Sir, you're my god of generosity.","It's to open the crate, stupid. No, Maggie. Not Az-tec. Ol-mec. Ol-mec. It doesn't do anything. Sir, you're my god of generosity.",4.0,1.0
165,"Wait a minute. If I hadn't written that nasty letter, we wouldn't have gotten anything!","Well then, I guess the moral is, ""No good deed goes unrewarded.""","No, Maggie. Not Az-tec. Ol-mec. Ol-mec. It doesn't do anything. Sir, you're my god of generosity. Well then, I guess the moral is, ""No good deed goes unrewarded.""",4.0,1.0
166,Exactly. It's just a bunch of stuff that happened.,Perhaps there is no moral to this story.,"It doesn't do anything. Sir, you're my god of generosity. Well then, I guess the moral is, ""No good deed goes unrewarded."" Perhaps there is no moral to this story.",4.0,1.0
167,Amen to that!,But it certainly was a memorable few days!,"Sir, you're my god of generosity. Well then, I guess the moral is, ""No good deed goes unrewarded."" Perhaps there is no moral to this story. But it certainly was a memorable few days!",4.0,1.0
171,You! You did this to me!,"Ah, my lucky red hat. Clean as a whistle!","I tried to stop her but she overpowered me. I washed it. Now Homer, don't panic. You have plenty of white shirts. Ah, my lucky red hat. Clean as a whistle!",4.0,1.0
178,"Son, it's no different than the time I let you vote for me. Remember that absentee ballot?","Dad, maybe you should do this.","Homer, this is an intimate psychological profile. I can't fill this out for you. Well, all right -- if you listen to the poem I just wrote. Meditations on turning eight, by Lisa Simpson. I had a cat named Snowball -- She died, she died! Mom said she was sleeping -- She lied, she lied! Why oh why is my cat dead? Couldn't that Chrysler hit me, instead? I had a hamster named Snuffy -- He died, -- Dad, maybe you should do this.",4.0,1.0
179,Look at him!,"Our $50,000 Home Video Finalists are: ""Man Breaking Hip."" Dog on Fire. Ruff! Anybody order a hot dog?","Well, all right -- if you listen to the poem I just wrote. Meditations on turning eight, by Lisa Simpson. I had a cat named Snowball -- She died, she died! Mom said she was sleeping -- She lied, she lied! Why oh why is my cat dead? Couldn't that Chrysler hit me, instead? I had a hamster named Snuffy -- He died, -- Dad, maybe you should do this. Our $50,000 Home Video Finalists are: ""Man Breaking Hip."" Dog on Fire. Ruff! Anybody order a hot dog?",4.0,1.0
180,Awww.,"And finally, ""Baby With A Nail Gun.""","Meditations on turning eight, by Lisa Simpson. I had a cat named Snowball -- She died, she died! Mom said she was sleeping -- She lied, she lied! Why oh why is my cat dead? Couldn't that Chrysler hit me, instead? I had a hamster named Snuffy -- He died, -- Dad, maybe you should do this. Our $50,000 Home Video Finalists are: ""Man Breaking Hip."" Dog on Fire. Ruff! Anybody order a hot dog? And finally, ""Baby With A Nail Gun.""",4.0,1.0
181,Dog on Fire! Dog on Fire!,"Okay, it's time to cast your votes now.","Dad, maybe you should do this. Our $50,000 Home Video Finalists are: ""Man Breaking Hip."" Dog on Fire. Ruff! Anybody order a hot dog? And finally, ""Baby With A Nail Gun."" Okay, it's time to cast your votes now.",4.0,1.0
182,"Yes, I'm hearing one right now, while I'm trying to watch TV.","Hey, Dad. ""Do you hear voices?""","Our $50,000 Home Video Finalists are: ""Man Breaking Hip."" Dog on Fire. Ruff! Anybody order a hot dog? And finally, ""Baby With A Nail Gun."" Okay, it's time to cast your votes now. Hey, Dad. ""Do you hear voices?""",4.0,1.0
183,Bart! Shut up or I'll shut you up!,"Yes. ""Are you quick to anger?""","And finally, ""Baby With A Nail Gun."" Okay, it's time to cast your votes now. Hey, Dad. ""Do you hear voices?"" Yes. ""Are you quick to anger?""",4.0,1.0
187,Who are you?,Put him in with the big white guy who thinks he's a little black guy.,Right... Good... HAPPY BIRTHDAY LISA / Put him in with the big white guy who thinks he's a little black guy.,4.0,1.0
188,"I'm Homer Simpson, from the Simpsons.","Hi. I'm Michael Jackson, from the Jacksons.","Good... HAPPY BIRTHDAY LISA / Put him in with the big white guy who thinks he's a little black guy. Hi. I'm Michael Jackson, from the Jacksons.",4.0,1.0
189,"Oh, of course I've heard of you. I mean you'd have to be living under a rock not to know -- what'd you say your name was?",I can't believe you've never heard of me. I'm a very popular entertainer.,"HAPPY BIRTHDAY LISA / Put him in with the big white guy who thinks he's a little black guy. Hi. I'm Michael Jackson, from the Jacksons. I can't believe you've never heard of me. I'm a very popular entertainer.",4.0,1.0
190,Doesn't ring a bell.,Michael Jackson.,"Put him in with the big white guy who thinks he's a little black guy. Hi. I'm Michael Jackson, from the Jacksons. I can't believe you've never heard of me. I'm a very popular entertainer. Michael Jackson.",4.0,1.0
191,What was that last one?,Thriller?,"Hi. I'm Michael Jackson, from the Jacksons. I can't believe you've never heard of me. I'm a very popular entertainer. Michael Jackson. Thriller?",4.0,1.0
192,Nope.,Thriller.,I can't believe you've never heard of me. I'm a very popular entertainer. Michael Jackson. Thriller? Thriller.,4.0,1.0
193,Wow. How do you do that thing with your feet?,"Well, how about this? BILLIE JEAN IS NOT MY LOVER / SHE'S JUST A GIRL WHO SAYS THAT I AM THE ONE / BUT THE KID IS NOT MY SON. HEE, HEE, HEE!","Michael Jackson. Thriller? Thriller. Well, how about this? BILLIE JEAN IS NOT MY LOVER / SHE'S JUST A GIRL WHO SAYS THAT I AM THE ONE / BUT THE KID IS NOT MY SON. HEE, HEE, HEE!",4.0,1.0
194,"No, that thing with your feet.",The moonwalk?,"Thriller? Thriller. Well, how about this? BILLIE JEAN IS NOT MY LOVER / SHE'S JUST A GIRL WHO SAYS THAT I AM THE ONE / BUT THE KID IS NOT MY SON. HEE, HEE, HEE! The moonwalk?",4.0,1.0
195,Because I wore a pink shirt.,Here look. Just raise your heel a bit and put a little pressure on the ball of your foot. Hee hee hee... You seem like a nice guy. Why'd they put you in here?,"Thriller. Well, how about this? BILLIE JEAN IS NOT MY LOVER / SHE'S JUST A GIRL WHO SAYS THAT I AM THE ONE / BUT THE KID IS NOT MY SON. HEE, HEE, HEE! The moonwalk? Here look. Just raise your heel a bit and put a little pressure on the ball of your foot. Hee hee hee... You seem like a nice guy. Why'd they put you in here?",4.0,1.0
196,What'd you wear?,I understand. People thought I was crazy for the way I dressed.,"Well, how about this? BILLIE JEAN IS NOT MY LOVER / SHE'S JUST A GIRL WHO SAYS THAT I AM THE ONE / BUT THE KID IS NOT MY SON. HEE, HEE, HEE! The moonwalk? Here look. Just raise your heel a bit and put a little pressure on the ball of your foot. Hee hee hee... You seem like a nice guy. Why'd they put you in here? I understand. People thought I was crazy for the way I dressed.",4.0,1.0
197,Bbl--bbl--bbl--bbl--,"One white glove, covered with rhinestones.","The moonwalk? Here look. Just raise your heel a bit and put a little pressure on the ball of your foot. Hee hee hee... You seem like a nice guy. Why'd they put you in here? I understand. People thought I was crazy for the way I dressed. One white glove, covered with rhinestones.",4.0,1.0
201,"Gee, I gotta call my family. Oh, this is so embarrassing, calling 'em from a nut house. I mean, they think I'm a god.","Hello. Well, it's about time somebody reach out to me.","Homer, this is Floyd. He's an idiot savant. Give him any two numbers and he can multiply them in his head, just like that. Forty-five. We call this guy the Chief. He's been here since 1968. Never says a word, never moves a muscle. Hello. Well, it's about time somebody reach out to me.",4.0,1.0
202,"Oh great! And uh, try to put a good face on this. Tell them this is one of those places where rich women lose weight.",I could call them for you.,"Forty-five. We call this guy the Chief. He's been here since 1968. Never says a word, never moves a muscle. Hello. Well, it's about time somebody reach out to me. I could call them for you.",4.0,1.0
208,Was it raining?,"No, I just couldn't face what was out there.","What's wrong, Homer? We all get scared once in a while. Maybe I can help you. HOMER, THE TWO OF US NEED LOOK NO MORE / WE BOTH FOUND WHAT WE WERE LOOKING FOR / WITH A FRIEND TO CALL MY OWN / I'LL NEVER BE ALONE / AND YOU MY FRIEND WILL SEE / YOU'VE GOT A FRIEND IN ME. Okay, so I was working at an insurance company, right? Huh! Youngest VP in the history of the firm. Okay? The job was my life. Then one Monday morning, I got up and I couldn't leave the house. I just couldn't. No, I just couldn't face what was out there.",4.0,1.0
209,Were you out of gas? Baby.,"Thank you. Anyway, that day I knew I-I just couldn't make that long drive to work.","We all get scared once in a while. Maybe I can help you. HOMER, THE TWO OF US NEED LOOK NO MORE / WE BOTH FOUND WHAT WE WERE LOOKING FOR / WITH A FRIEND TO CALL MY OWN / I'LL NEVER BE ALONE / AND YOU MY FRIEND WILL SEE / YOU'VE GOT A FRIEND IN ME. Okay, so I was working at an insurance company, right? Huh! Youngest VP in the history of the firm. Okay? The job was my life. Then one Monday morning, I got up and I couldn't leave the house. I just couldn't. No, I just couldn't face what was out there. Thank you. Anyway, that day I knew I-I just couldn't make that long drive to work.",4.0,1.0
210,Mmm... pancakes.,You mean there really is a Bart? Good Lord!,"Okay, so I was working at an insurance company, right? Huh! Youngest VP in the history of the firm. Okay? The job was my life. Then one Monday morning, I got up and I couldn't leave the house. I just couldn't. No, I just couldn't face what was out there. Thank you. Anyway, that day I knew I-I just couldn't make that long drive to work. You mean there really is a Bart? Good Lord!",4.0,1.0
211,Marge!,"Oh, Mr. Simpson, you've got a visitor.","No, I just couldn't face what was out there. Thank you. Anyway, that day I knew I-I just couldn't make that long drive to work. You mean there really is a Bart? Good Lord! Oh, Mr. Simpson, you've got a visitor.",4.0,1.0
212,"That's the most flattering thing anyone has ever said to me. Could I have it in writing, please?","Mr. Simpson, after talking to your wife, we believe you're no threat to yourself or others.","Thank you. Anyway, that day I knew I-I just couldn't make that long drive to work. You mean there really is a Bart? Good Lord! Oh, Mr. Simpson, you've got a visitor. Mr. Simpson, after talking to your wife, we believe you're no threat to yourself or others.",4.0,1.0
